Frequency,	Imag,	phase,	LinMag,	Real
1064432419.53376687,	-0.00728185,	-152.87151331,	0.01596942,	-0.01421256
1064434920.78439224,	-0.01990798,	-148.74209999,	0.03836640,	-0.03279715
1064437422.03501749,	0.03891689,	141.98496116,	0.06319028,	-0.04978441
1064439923.28564286,	-0.03683303,	-31.77113604,	0.06995461,	0.05947247
1064442424.53626811,	0.05688068,	53.34272262,	0.07090400,	0.04233161
1064444925.78689349,	0.02091093,	17.17768990,	0.07080384,	0.06764553
1064447427.03751874,	0.10388619,	109.05703380,	0.10990991,	-0.03588660
1064449928.28814411,	0.10070963,	66.41647125,	0.10988770,	0.04396448
1064452429.53876936,	0.05413403,	69.68201549,	0.05772573,	0.02004411
1064454930.78939474,	0.00494787,	12.34417850,	0.02314427,	0.02260920
1064457432.04001999,	0.04442584,	70.41261648,	0.04715462,	0.01580831
1064459933.29064536,	-0.02025872,	-101.30356091,	0.02065946,	-0.00404940
1064462434.54127061,	-0.00729225,	-170.87341595,	0.04597420,	-0.04539218
1064464935.79189599,	0.00018333,	0.24807360,	0.04234185,	0.04234146
1064467437.04252124,	0.07364292,	101.66250708,	0.07519530,	-0.01520046
1064469938.29314661,	0.00431420,	175.37400390,	0.05349212,	-0.05331786
1064472439.54377186,	0.07222576,	88.86485042,	0.07223994,	0.00143113
1064474940.79439723,	0.04455851,	139.48954209,	0.06859516,	-0.05215203
1064477442.04502249,	-0.08260442,	-79.39320520,	0.08404037,	0.01546914
1064479943.29564786,	-0.05567382,	-110.13524306,	0.05929795,	-0.02041257
1064482444.54627311,	-0.07196634,	-90.06778280,	0.07196639,	-0.00008514
1064484945.79689848,	0.00890787,	161.95843886,	0.02876226,	-0.02734808
1064487447.04752374,	0.06690813,	65.73418865,	0.07339245,	0.03016213
1064489948.29814911,	0.12277795,	71.45554344,	0.12950206,	0.04118688
1064492449.54877436,	0.04443884,	112.74723593,	0.04818682,	-0.01863223
1064494950.79939973,	0.02001254,	79.36463081,	0.02036233,	0.00375803
1064497452.05002499,	0.01032867,	13.88407320,	0.04304362,	0.04178602
1064499953.30065036,	0.02935782,	92.71384908,	0.02939078,	-0.00139159
1064502454.55127561,	-0.04380610,	-55.64036806,	0.05306542,	0.02994935
1064504955.80190098,	-0.03934792,	-55.83472861,	0.04755489,	0.02670597
1064507457.05252624,	-0.01133364,	-38.69396780,	0.01812916,	0.01414974
1064509958.30315161,	0.01735211,	60.72539350,	0.01989268,	0.00972744
1064512459.55377686,	0.03893881,	78.70765199,	0.03970751,	0.00777533
1064514960.80440223,	-0.03207948,	-68.17733605,	0.03455579,	0.01284560
1064517462.05502748,	0.01886842,	160.25634738,	0.05585472,	-0.05257121
1064519963.30565286,	-0.01931495,	-21.09626405,	0.05366219,	0.05006559
1064522464.55627811,	0.04674630,	87.58689053,	0.04678779,	0.00196997
1064524965.80690348,	0.04133237,	59.76270435,	0.04784132,	0.02409205
1064527467.05752873,	-0.05315474,	-38.20368147,	0.08594709,	0.06753870
1064529968.30815411,	0.06058362,	67.37458417,	0.06563491,	0.02525006
1064532469.55877936,	-0.00516062,	-117.65374627,	0.00582615,	-0.00270407
1064534970.80940473,	0.02656742,	113.10935958,	0.02888525,	-0.01133709
1064537472.06002998,	0.02007794,	28.04565645,	0.04270312,	0.03768863
1064539973.31065536,	-0.00095275,	-2.46104428,	0.02218778,	0.02216732
1064542474.56128061,	-0.05314410,	-75.51840312,	0.05488800,	0.01372579
1064544975.81190598,	0.01399988,	19.31403209,	0.04232824,	0.03994600
1064547477.06253123,	0.00815097,	17.64559262,	0.02688952,	0.02562436
1064549978.31315660,	0.04775655,	135.58437300,	0.06823747,	-0.04874078
1064552479.56378186,	0.02791541,	101.20626977,	0.02845799,	-0.00553057
1064554980.81440723,	0.01953943,	76.97368986,	0.02005553,	0.00452049
1064557482.06503248,	0.04930642,	48.32079294,	0.06601656,	0.04389833
1064559983.31565785,	-0.00912398,	-9.89139356,	0.05311398,	0.05232445
1064562484.56628311,	0.02139963,	56.74739370,	0.02558965,	0.01403161
1064564985.81690848,	0.06406637,	53.02730260,	0.08019100,	0.04822963
1064567487.06753373,	-0.00058968,	-1.60664747,	0.02103171,	0.02102344
1064569988.31815910,	0.01937976,	10.63180796,	0.10504106,	0.10323783
1064572489.56878436,	0.00759319,	9.05607589,	0.04824105,	0.04763971
1064574990.81940973,	0.03549853,	32.28956760,	0.06645195,	0.05617576
1064577492.07003498,	-0.00323790,	-4.04149083,	0.04594152,	0.04582727
1064579993.32066035,	0.01164629,	7.24351812,	0.09236729,	0.09163013
1064582494.57128561,	0.05448221,	105.87987186,	0.05664389,	-0.01549898
1064584995.82191098,	-0.06084646,	-34.13258098,	0.10843949,	0.08975986
1064587497.07253623,	0.08533092,	84.16463837,	0.08577539,	0.00872081
1064589998.32316160,	0.00317187,	4.24128954,	0.04288816,	0.04277071
1064592499.57378685,	0.06806005,	78.62034089,	0.06942485,	0.01369817
1064595000.82441223,	-0.03141177,	-22.10598890,	0.08347066,	0.07733467
1064597502.07503748,	0.07630344,	100.49397479,	0.07760139,	-0.01413371
1064600003.32566285,	-0.06596863,	-126.44969414,	0.08201190,	-0.04872464
1064602504.57628810,	-0.03487367,	-24.71531606,	0.08340790,	0.07576744
1064605005.82691348,	0.04160785,	147.55638325,	0.07755866,	-0.06545329
1064607507.07753873,	0.01933078,	68.98233379,	0.02070852,	0.00742723
1064610008.32816410,	-0.05541878,	-115.52905813,	0.06141491,	-0.02646791
1064612509.57878935,	0.04959432,	65.28852843,	0.05459378,	0.02282287
1064615010.82941472,	0.01516369,	21.86054598,	0.04072443,	0.03779605
1064617512.08003998,	0.02809477,	122.61706473,	0.03335514,	-0.01797915
1064620013.33066535,	-0.00552266,	-12.94294273,	0.02465685,	0.02403041
1064622514.58129060,	0.04770811,	52.52320251,	0.06011608,	0.03657703
1064625015.83191597,	0.01538710,	15.08291492,	0.05913187,	0.05709480
1064627517.08254123,	0.01530009,	11.16025373,	0.07904827,	0.07755344
1064630018.33316660,	0.03832658,	102.34311530,	0.03923346,	-0.00838676
1064632519.58379185,	-0.00439755,	-176.12097232,	0.06500432,	-0.06485540
1064635020.83441722,	0.01673469,	156.01221219,	0.04116351,	-0.03760830
1064637522.08504248,	0.02548908,	148.96843868,	0.04944437,	-0.04236807
1064640023.33566785,	0.00266403,	4.15476163,	0.03677026,	0.03667362
1064642524.58629310,	0.02002651,	90.33299963,	0.02002685,	-0.00011639
1064645025.83691847,	0.05299187,	71.67056958,	0.05582417,	0.01755559
1064647527.08754373,	0.01766093,	130.88162689,	0.02335907,	-0.01528847
1064650028.33816910,	-0.01157085,	-40.48078611,	0.01782344,	0.01355693
1064652529.58879435,	-0.02467431,	-139.80228126,	0.03822942,	-0.02920046
1064655030.83941972,	0.12137257,	63.20274313,	0.13597532,	0.06130240
1064657532.09004498,	0.08188593,	80.09387516,	0.08312525,	0.01430040
1064660033.34067035,	0.05506588,	53.02317767,	0.06892894,	0.04146020
1064662534.59129560,	-0.02763967,	-47.28462423,	0.03761868,	0.02551889
1064665035.84192097,	0.02610531,	19.35813846,	0.07875573,	0.07430328
1064667537.09254622,	0.06410482,	53.90572557,	0.07933286,	0.04673623
1064670038.34317160,	0.05978017,	91.51842349,	0.05980116,	-0.00158463
1064672539.59379685,	0.07651529,	112.14537951,	0.08260935,	-0.03114025
1064675040.84442222,	0.05010226,	40.91551689,	0.07649837,	0.05780799
1064677542.09504747,	0.00287398,	2.84364295,	0.05793090,	0.05785956
1064680043.34567285,	0.00055600,	0.95462824,	0.03337225,	0.03336762
1064682544.59629810,	0.09279697,	107.28819734,	0.09718771,	-0.02888207
1064685045.84692347,	0.09044340,	75.95475236,	0.09323059,	0.02262595
1064687547.09754872,	0.00703791,	170.63624131,	0.04325648,	-0.04268010
1064690048.34817409,	0.03285205,	55.19070075,	0.04001192,	0.02284068
1064692549.59879935,	0.10571844,	56.98646303,	0.12607414,	0.06868988
1064695050.84942472,	-0.00400586,	-99.82223361,	0.00406545,	-0.00069353
1064697552.10004997,	0.09489364,	104.99623499,	0.09823940,	-0.02541999
1064700053.35067534,	-0.05228989,	-118.94054193,	0.05975152,	-0.02891386
1064702554.60130060,	-0.04797836,	-90.93254442,	0.04798472,	-0.00078096
1064705055.85192597,	-0.03451150,	-41.10926166,	0.05248921,	0.03954837
1064707557.10255122,	0.04824321,	98.37817320,	0.04876362,	-0.00710516
1064710058.35317659,	-0.00216292,	-177.08879011,	0.04258702,	-0.04253206
1064712559.60380185,	-0.01191655,	-80.98747022,	0.01206551,	0.00189007
1064715060.85442722,	0.03473822,	70.22122583,	0.03691604,	0.01249199
1064717562.10505247,	0.00019875,	179.83180013,	0.06770205,	-0.06770176
1064720063.35567784,	0.03413593,	21.63371447,	0.09259171,	0.08606952
1064722564.60630310,	0.01616823,	101.17588893,	0.01648076,	-0.00319433
1064725065.85692847,	0.00580508,	50.31641306,	0.00754316,	0.00481666
1064727567.10755372,	0.03494282,	57.15876259,	0.04158985,	0.02255472
1064730068.35817909,	0.03967045,	108.74564233,	0.04189267,	-0.01346294
1064732569.60880434,	0.02019295,	17.65369288,	0.06658560,	0.06344988
1064735070.85942972,	0.01827963,	24.08894373,	0.04478608,	0.04088579
1064737572.11005497,	0.06178224,	138.15686529,	0.09261407,	-0.06899507
1064740073.36068034,	0.00275286,	3.99043560,	0.03955829,	0.03946239
1064742574.61130559,	0.07150264,	119.65282462,	0.08227781,	-0.04070640
1064745075.86193097,	0.04217069,	22.69506661,	0.10929960,	0.10083667
1064747577.11255622,	0.06243914,	46.06720565,	0.08670246,	0.06015540
1064750078.36318159,	0.02863821,	24.41976262,	0.06927172,	0.06307475
1064752579.61380696,	0.08847236,	66.80276577,	0.09625408,	0.03791425
1064755080.86443222,	0.03661699,	124.40370720,	0.04438009,	-0.02507566
1064757582.11505759,	0.06973371,	67.33510446,	0.07556962,	0.02912005
1064760083.36568284,	0.03168657,	31.39617644,	0.06082428,	0.05191873
1064762584.61630821,	-0.06146472,	-151.11494219,	0.12724191,	-0.11141181
1064765085.86693346,	-0.02115827,	-150.82301504,	0.04340077,	-0.03789400
1064767587.11755884,	-0.02166042,	-30.59818220,	0.04255367,	0.03662842
1064770088.36818409,	0.05715777,	143.32815263,	0.09570461,	-0.07676172
1064772589.61880946,	-0.04432726,	-125.70501905,	0.05458805,	-0.03185826
1064775090.86943471,	0.04193617,	116.92797519,	0.04703598,	-0.02130119
1064777592.12006009,	0.03497138,	118.98526808,	0.03997898,	-0.01937320
1064780093.37068534,	0.07360801,	83.73736603,	0.07404992,	0.00807781
1064782594.62131071,	0.05453047,	79.88376326,	0.05539162,	0.00972930
1064785095.87193596,	0.00309045,	124.37060962,	0.00374417,	-0.00211375
1064787597.12256134,	-0.02446025,	-72.82481229,	0.02560194,	0.00756011
1064790098.37318659,	-0.00861065,	-94.50961726,	0.00863739,	-0.00067913
1064792599.62381196,	0.03898775,	38.63254748,	0.06244800,	0.04878225
1064795100.87443721,	0.02589419,	37.99930855,	0.04205978,	0.03314387
1064797602.12506258,	-0.02847025,	-59.38556436,	0.03308133,	0.01684694
1064800103.37568784,	-0.03538709,	-81.81615830,	0.03575117,	0.00508917
1064802604.62631321,	0.01360395,	170.11674396,	0.07925808,	-0.07808185
1064805105.87693846,	-0.03016775,	-36.01069846,	0.05131126,	0.04150605
1064807607.12756383,	0.04498855,	70.04248859,	0.04786291,	0.01633672
1064810108.37818909,	-0.01174281,	-11.46173933,	0.05909417,	0.05791569
1064812609.62881446,	0.05542829,	56.87802770,	0.06618231,	0.03616355
1064815110.87943971,	-0.00614278,	-16.61306475,	0.02148526,	0.02058841
1064817612.13006508,	-0.00829353,	-55.86521860,	0.01001973,	0.00562249
1064820113.38069034,	-0.06090254,	-70.11967154,	0.06476203,	0.02202276
1064822614.63131571,	-0.00982267,	-148.90313292,	0.01901825,	-0.01628524
1064825115.88194096,	0.09276465,	131.10316707,	0.12310725,	-0.08093279
1064827617.13256633,	0.06671155,	118.46683632,	0.07588678,	-0.03617144
1064830118.38319159,	0.06712172,	46.02827838,	0.09326573,	0.06475470
1064832619.63381696,	0.01256740,	26.01438039,	0.02865365,	0.02575058
1064835120.88444221,	0.00954478,	157.79202922,	0.02525276,	-0.02337946
1064837622.13506758,	0.00762964,	7.68038281,	0.05708808,	0.05657594
1064840123.38569283,	0.00751755,	50.10246637,	0.00979878,	0.00628510
1064842624.63631821,	0.04001570,	124.83789211,	0.04875376,	-0.02785090
1064845125.88694346,	0.08179044,	77.50193388,	0.08377565,	0.01812961
1064847627.13756883,	0.01833839,	89.70863791,	0.01833863,	0.00009326
1064850128.38819408,	0.06328133,	73.19399618,	0.06610471,	0.01911299
1064852629.63881946,	0.09731394,	111.55053590,	0.10462808,	-0.03843217
1064855130.88944471,	0.05019362,	87.89660183,	0.05022746,	0.00184350
1064857632.14007008,	0.02058603,	27.66842375,	0.04433262,	0.03926317
1064860133.39069533,	0.04020797,	132.66342905,	0.05467889,	-0.03705536
1064862634.64132071,	-0.01637661,	-128.48933156,	0.02092258,	-0.01302157
1064865135.89194596,	0.00888621,	174.22025645,	0.08824042,	-0.08779184
1064867637.14257133,	0.07303659,	62.12265919,	0.08262519,	0.03863391
1064870138.39319658,	-0.01146538,	-22.00195846,	0.03060385,	0.02837501
1064872639.64382195,	0.01674352,	31.03647021,	0.03247488,	0.02782576
1064875140.89444721,	0.05778851,	53.43451673,	0.07194995,	0.04286354
1064877642.14507258,	0.00561146,	175.24069807,	0.06763234,	-0.06739915
1064880143.39569783,	0.01419501,	157.93466173,	0.03778647,	-0.03501884
1064882644.64632320,	-0.02383110,	-57.61195776,	0.02822120,	0.01511670
1064885145.89694846,	0.03101916,	40.54281413,	0.04772061,	0.03626387
1064887647.14757383,	0.07989959,	93.70450597,	0.08006689,	-0.00517318
1064890148.39819908,	-0.08515528,	-87.49787188,	0.08523654,	0.00372113
1064892649.64882445,	-0.02021501,	-102.62380027,	0.02071579,	-0.00452741
1064895150.89944971,	0.02472773,	158.33013851,	0.06696600,	-0.06223331
1064897652.15007508,	-0.06544284,	-69.74186635,	0.06975791,	0.02415369
1064900153.40070033,	-0.02899559,	-26.55974912,	0.06484811,	0.05800460
1064902654.65132570,	-0.01083107,	-162.23266688,	0.03549396,	-0.03380103
1064905155.90195096,	0.00312252,	177.44646234,	0.07008569,	-0.07001609
1064907657.15257633,	0.02986698,	29.74843491,	0.06019229,	0.05225969
1064910158.40320158,	0.03543284,	74.66407507,	0.03674113,	0.00971721
1064912659.65382695,	-0.00151549,	-2.65604650,	0.03270356,	0.03266843
1064915160.90445220,	0.01951294,	124.80708593,	0.02376501,	-0.01356543
1064917662.15507758,	0.04158431,	77.22556200,	0.04263972,	0.00942821
1064920163.40570283,	0.09184831,	64.56138854,	0.10170944,	0.04368866
1064922664.65632820,	-0.02239151,	-39.22919935,	0.03540585,	0.02742616
1064925165.90695345,	0.04350346,	30.82906686,	0.08488836,	0.07289363
1064927667.15757883,	0.08520243,	57.98921458,	0.10048068,	0.05326269
1064930168.40820408,	-0.02408814,	-141.30165625,	0.03852746,	-0.03006870
1064932669.65882945,	0.05493942,	53.35540647,	0.06847286,	0.04086800
1064935170.90945470,	0.10594378,	75.73240607,	0.10931559,	0.02694093
1064937672.16008007,	0.02814946,	25.00917622,	0.06658442,	0.06034147
1064940173.41070533,	0.03831138,	54.12076259,	0.04728317,	0.02771166
1064942674.66133070,	-0.00805045,	-8.71810941,	0.05311259,	0.05249893
1064945175.91195595,	0.00610536,	3.92899545,	0.08910305,	0.08889363
1064947677.16258132,	-0.04029686,	-112.84869753,	0.04372804,	-0.01697955
1064950178.41320658,	-0.04784949,	-81.72644711,	0.04835273,	0.00695793
1064952679.66383195,	0.02682326,	84.85183419,	0.02693191,	0.00241664
1064955180.91445720,	-0.05492138,	-129.42105299,	0.07109562,	-0.04514674
1064957682.16508257,	0.04962394,	114.11238699,	0.05436775,	-0.02221074
1064960183.41570783,	0.02834295,	42.29693956,	0.04211602,	0.03115183
1064962684.66633320,	-0.00420065,	-9.16413934,	0.02637553,	0.02603887
1064965185.91695845,	0.03770879,	51.23693090,	0.04836062,	0.03027865
1064967687.16758382,	0.08671168,	97.53197669,	0.08746635,	-0.01146505
1064970188.41820908,	0.12395899,	99.23478884,	0.12558672,	-0.02015422
1064972689.66883445,	-0.01273809,	-134.58371409,	0.01788490,	-0.01255432
1064975190.91945970,	0.05839517,	106.51905693,	0.06090919,	-0.01731857
1064977692.17008507,	-0.01142874,	-103.04539835,	0.01173151,	-0.00264807
1064980193.42071032,	-0.00612897,	-172.85861701,	0.04930068,	-0.04891822
1064982694.67133570,	-0.02566706,	-162.30222138,	0.08443219,	-0.08043629
1064985195.92196095,	0.05382056,	139.14931932,	0.08228311,	-0.06224033
1064987697.17258632,	0.05337157,	86.09489820,	0.05349577,	0.00364328
1064990198.42321157,	0.05980097,	123.96049206,	0.07209949,	-0.04027630
1064992699.67383695,	0.06996097,	141.08473978,	0.11137261,	-0.08665634
1064995200.92446220,	0.05191054,	105.90509899,	0.05397694,	-0.01479210
1064997702.17508757,	0.09238962,	68.35728694,	0.09939693,	0.03665933
1065000203.42571282,	-0.01424295,	-35.83921313,	0.02432561,	0.01971988
1065002704.67633820,	0.00672891,	6.10165641,	0.06330539,	0.06294676
1065005205.92696345,	-0.00315146,	-174.33329563,	0.03191622,	-0.03176025
1065007707.17758882,	0.06035249,	68.55686614,	0.06484070,	0.02370431
1065010208.42821407,	0.04243323,	90.10302388,	0.04243330,	-0.00007630
1065012709.67883944,	-0.01792281,	-13.49591559,	0.07679800,	0.07467734
1065015210.92946470,	0.10126169,	54.13918526,	0.12494618,	0.07319575
1065017712.18009007,	0.08508772,	35.64174037,	0.14601941,	0.11866654
1065020213.43071532,	-0.00630697,	-15.55432612,	0.02352012,	0.02265874
1065022714.68134069,	0.00814489,	7.60953790,	0.06150739,	0.06096573
1065025215.93196595,	-0.00887536,	-168.38160772,	0.04407000,	-0.04316704
1065027717.18259132,	0.00427520,	129.35921982,	0.00552933,	-0.00350660
1065030218.43321657,	-0.00483737,	-165.05021450,	0.01875152,	-0.01811682
1065032719.68384194,	-0.02112121,	-129.24136073,	0.02727119,	-0.01725144
1065035220.93446720,	0.00921899,	8.61255764,	0.06156169,	0.06086750
1065037722.18509257,	0.06666236,	71.51543400,	0.07028862,	0.02228495
1065040223.43571782,	0.05856863,	82.44620549,	0.05908135,	0.00776666
1065042724.68634319,	-0.00260700,	-3.09813137,	0.04823649,	0.04816598
1065045225.93696845,	0.03735846,	119.19754700,	0.04279599,	-0.02087684
1065047727.18759382,	0.01925562,	16.49041854,	0.06783610,	0.06504581
1065050228.43821907,	0.04412108,	54.14918736,	0.05443386,	0.03188064
1065052729.68884444,	-0.01858102,	-23.55236331,	0.04650056,	0.04262684
1065055230.93946969,	0.04069607,	47.16636429,	0.05549482,	0.03772937
1065057732.19009507,	0.05174237,	42.05310858,	0.07724826,	0.05735871
1065060233.44072032,	0.02198669,	94.18751041,	0.02204554,	-0.00160978
1065062734.69134569,	0.00871728,	49.40544390,	0.01148018,	0.00747018
1065065235.94197094,	0.06036868,	51.90068701,	0.07671296,	0.04733392
1065067737.19259632,	0.04912260,	17.12063568,	0.16686542,	0.15947112
1065070238.44322157,	0.06149919,	142.78556380,	0.10168520,	-0.08097981
1065072739.69384694,	0.10978068,	75.73149610,	0.11327506,	0.02791848
1065075240.94447219,	-0.06574073,	-79.59828429,	0.06683916,	0.01206772
1065077742.19509757,	-0.00562099,	-101.88775230,	0.00574418,	-0.00118327
1065080243.44572282,	0.04976412,	40.70738695,	0.07630238,	0.05784104
1065082744.69634819,	0.06648131,	48.61862388,	0.08860323,	0.05857276
1065085245.94697344,	-0.00440822,	-152.33044257,	0.00949286,	-0.00840726
1065087747.19759881,	0.05251121,	57.06457764,	0.06256668,	0.03401709
1065090248.44822407,	0.09768020,	47.63293357,	0.13220702,	0.08909138
1065092749.69884944,	0.02161022,	137.43390284,	0.03194698,	-0.02352887
1065095250.94947469,	-0.06438447,	-114.17894434,	0.07057606,	-0.02890709
1065097752.20010006,	0.06097113,	128.10175932,	0.07748111,	-0.04781050
1065100253.45072532,	0.04082377,	52.95479723,	0.05114732,	0.03081344
1065102754.70135069,	0.13588516,	64.59345854,	0.15043421,	0.06454203
1065105255.95197594,	0.09391484,	91.01364097,	0.09392954,	-0.00166166
1065107757.20260131,	0.08230719,	88.68050438,	0.08232902,	0.00189583
1065110258.45322657,	0.03437954,	66.64807733,	0.03744691,	0.01484312
1065112759.70385194,	0.05421309,	75.04785460,	0.05611298,	0.01447783
1065115260.95447719,	0.02674826,	147.37319441,	0.04961054,	-0.04178201
1065117762.20510256,	-0.01562697,	-141.21097025,	0.02494509,	-0.01944365
1065120263.45572782,	0.00549188,	2.76902627,	0.11368039,	0.11354765
1065122764.70635319,	0.03456171,	108.37449989,	0.03641846,	-0.01148007
1065125265.95697844,	-0.02658194,	-106.95949152,	0.02779051,	-0.00810637
1065127767.20760381,	0.03552919,	19.70045898,	0.10539570,	0.09922666
1065130268.45822906,	0.02176962,	101.36655416,	0.02220515,	-0.00437630
1065132769.70885444,	-0.00017291,	-0.17028735,	0.05817871,	0.05817845
1065135270.95947969,	0.05488466,	117.70599426,	0.06199240,	-0.02882242
1065137772.21010506,	0.04069142,	109.77161810,	0.04324052,	-0.01462705
1065140273.46073031,	-0.02079108,	-40.01673845,	0.03233392,	0.02476315
1065142774.71135569,	0.01399653,	25.45149565,	0.03256924,	0.02940838
1065145275.96198094,	0.00035585,	1.01377563,	0.02011244,	0.02010929
1065147777.21260631,	0.06217890,	45.46873609,	0.08722359,	0.06116976
1065150278.46323156,	0.06235595,	70.77147302,	0.06604016,	0.02174946
1065152779.71385694,	0.08858711,	76.01448118,	0.09129334,	0.02206347
1065155280.96448219,	0.05609501,	34.42862553,	0.09921662,	0.08183695
1065157782.21510756,	0.04815750,	48.98399877,	0.06382481,	0.04188629
1065160283.46573281,	0.05397483,	47.48540482,	0.07322541,	0.04948412
1065162784.71635818,	0.07921282,	98.99167551,	0.08019838,	-0.01253428
1065165285.96698344,	0.06943645,	41.61837310,	0.10454683,	0.07815766
1065167787.21760881,	0.00573086,	23.87476634,	0.01415941,	0.01294782
1065170288.46823406,	0.04756938,	69.74647242,	0.05070444,	0.01755260
1065172789.71885943,	0.09679330,	53.40259539,	0.12056295,	0.07187825
1065175290.96948469,	-0.01679598,	-124.23436688,	0.02031583,	-0.01142927
1065177792.22011006,	-0.00804707,	-42.45334911,	0.01192176,	0.00879620
1065180293.47073531,	0.05375671,	48.94385794,	0.07128910,	0.04682256
1065182794.72136068,	0.06868393,	120.37544623,	0.07961227,	-0.04025707
1065185295.97198594,	0.05437523,	42.45891765,	0.08054858,	0.05942564
1065187797.22261131,	-0.05270871,	-117.28164366,	0.05930562,	-0.02718361
1065190298.47323656,	-0.00522956,	-16.22098896,	0.01872094,	0.01797569
1065192799.72386193,	0.03355783,	60.32627413,	0.03862289,	0.01912066
1065195300.97448719,	0.03250010,	125.04177575,	0.03969557,	-0.02279215
1065197802.22511256,	0.04037751,	96.04797107,	0.04060351,	-0.00427803
1065200303.47573781,	0.03329111,	76.46874947,	0.03424157,	0.00801169
1065202804.72636318,	0.00768838,	11.74814441,	0.03776034,	0.03696934
1065205305.97698843,	-0.03238973,	-91.54562577,	0.03240152,	-0.00087397
1065207807.22761381,	0.13806857,	79.79609890,	0.14028742,	0.02485216
1065210308.47823918,	0.08180567,	115.61407451,	0.09072117,	-0.03921942
1065212809.72886443,	0.07264585,	82.61699995,	0.07325317,	0.00941313
