Frequency,	Imag,	phase,	LinMag,	Real
1034459228.55377686,	-0.01734874,	-132.73415831,	0.02361947,	-0.01602812
1034464231.05502748,	-0.01095453,	-113.80963558,	0.01197358,	-0.00483372
1034469233.55627811,	0.02051952,	129.54145299,	0.02660850,	-0.01693994
1034474236.05752873,	-0.04997139,	-54.26786052,	0.06155961,	0.03595061
1034479238.55877936,	0.01619172,	24.27152181,	0.03939004,	0.03590826
1034484241.06002998,	0.00879528,	14.66183188,	0.03474837,	0.03361684
1034489243.56128061,	0.00613537,	74.27763488,	0.00637384,	0.00172716
1034494246.06253123,	0.00545895,	10.56462373,	0.02977432,	0.02926960
1034499248.56378186,	0.04789532,	89.24771001,	0.04789945,	0.00062890
1034504251.06503248,	0.04592039,	47.40258393,	0.06238101,	0.04222214
1034509253.56628311,	-0.01729784,	-68.46616488,	0.01859581,	0.00682560
1034514256.06753373,	0.00764837,	62.15798394,	0.00864967,	0.00403970
1034519258.56878436,	-0.02177539,	-51.41704921,	0.02785624,	0.01737246
1034524261.07003498,	-0.02118215,	-66.64336253,	0.02307286,	0.00914731
1034529263.57128561,	0.06553686,	83.99808341,	0.06589809,	0.00689042
1034534266.07253623,	0.03648767,	99.45773113,	0.03699047,	-0.00607827
1034539268.57378685,	0.02326371,	29.69257997,	0.04696455,	0.04079790
1034544271.07503748,	-0.00234785,	-3.38950655,	0.03971091,	0.03964145
1034549273.57628810,	0.00520056,	89.71176507,	0.00520063,	0.00002616
1034554276.07753873,	0.00719882,	9.67965560,	0.04281460,	0.04220506
1034559278.57878935,	0.01637512,	34.27602330,	0.02907616,	0.02402662
1034564281.08003998,	-0.02769113,	-113.88656040,	0.03028508,	-0.01226325
1034569283.58129060,	0.02529890,	109.91998708,	0.02690888,	-0.00916806
1034574286.08254123,	0.04347757,	54.40896090,	0.05346533,	0.03111660
1034579288.58379185,	0.04018430,	82.25184573,	0.04055455,	0.00546752
1034584291.08504248,	0.01614910,	62.64396938,	0.01818247,	0.00835518
1034589293.58629310,	-0.05389025,	-72.98906738,	0.05635588,	0.01648715
1034594296.08754373,	0.03241017,	144.13996364,	0.05532565,	-0.04483870
1034599298.58879435,	0.02573604,	123.44324253,	0.03084258,	-0.01699768
1034604301.09004498,	0.00651580,	168.97872599,	0.03408317,	-0.03345454
1034609303.59129560,	0.03645857,	30.50400120,	0.07182560,	0.06188448
1034614306.09254622,	0.01920781,	132.79150300,	0.02617472,	-0.01778134
1034619308.59379685,	0.00315945,	19.54679051,	0.00944314,	0.00889892
1034624311.09504747,	0.03835328,	134.75947275,	0.05401346,	-0.03803261
1034629313.59629810,	0.01271784,	68.42222044,	0.01367629,	0.00502965
1034634316.09754872,	-0.00346758,	-21.69197889,	0.00938157,	0.00871721
1034639318.59879935,	-0.03766872,	-83.44417162,	0.03791665,	0.00432899
1034644321.10004997,	-0.00524284,	-7.96732922,	0.03782482,	0.03745971
1034649323.60130060,	0.00448837,	12.14902162,	0.02132697,	0.02084932
1034654326.10255122,	0.01795369,	16.64320213,	0.06268508,	0.06005901
1034659328.60380185,	-0.03053515,	-46.08808056,	0.04238598,	0.02939687
1034664331.10505247,	0.00643067,	163.89578796,	0.02318315,	-0.02227342
1034669333.60630310,	0.00873994,	17.96243453,	0.02834024,	0.02695890
1034674336.10755372,	0.02940144,	85.29007610,	0.02950106,	0.00242237
1034679338.60880434,	0.04195906,	101.99024312,	0.04289490,	-0.00891121
1034684341.11005497,	-0.00826571,	-10.11573328,	0.04706132,	0.04632975
1034689343.61130559,	-0.01551006,	-18.92388793,	0.04782452,	0.04523962
1034694346.11255622,	-0.00630227,	-30.69724786,	0.01234524,	0.01061539
1034699348.61380696,	0.01772255,	18.69070848,	0.05530359,	0.05238700
1034704351.11505759,	-0.01115923,	-16.13648404,	0.04015174,	0.03856986
1034709353.61630821,	0.03509327,	129.85677515,	0.04571526,	-0.02929757
1034714356.11755884,	-0.00529193,	-89.46463645,	0.00529216,	0.00004945
1034719358.61880946,	0.01592289,	20.12790500,	0.04627174,	0.04344577
1034724361.12006009,	-0.01616203,	-45.87920511,	0.02251376,	0.01567348
1034729363.62131071,	-0.00061819,	-178.38146242,	0.02188668,	-0.02187795
1034734366.12256134,	-0.00071843,	-5.85541194,	0.00704212,	0.00700538
1034739368.62381196,	0.03999753,	49.63429517,	0.05249528,	0.03399930
1034744371.12506258,	-0.00435981,	-5.03021537,	0.04972348,	0.04953198
1034749373.62631321,	0.04583790,	32.22013706,	0.08597181,	0.07273265
1034754376.12756383,	0.01012715,	7.82892314,	0.07434640,	0.07365344
1034759378.62881446,	0.02769049,	113.25746057,	0.03013964,	-0.01190104
1034764381.13006508,	0.00323288,	3.56161376,	0.05204092,	0.05194041
1034769383.63131571,	-0.00920744,	-89.19584071,	0.00920834,	0.00012924
1034774386.13256633,	-0.04771033,	-70.11743758,	0.05073453,	0.01725448
1034779388.63381696,	-0.01176854,	-18.59028813,	0.03691528,	0.03498913
1034784391.13506758,	-0.00118266,	-17.15492767,	0.00400962,	0.00383124
1034789393.63631821,	-0.02514556,	-63.79465862,	0.02802616,	0.01237606
1034794396.13756883,	0.06831022,	59.58639183,	0.07921004,	0.04009918
1034799398.63881946,	-0.03392699,	-146.62598131,	0.06167399,	-0.05150378
1034804401.14007008,	0.02585305,	40.12946668,	0.04011229,	0.03066946
1034809403.64132071,	0.01879224,	157.60552556,	0.04932590,	-0.04560588
1034814406.14257133,	0.04453348,	90.60991299,	0.04453600,	-0.00047408
1034819408.64382195,	-0.01296298,	-61.26337797,	0.01478376,	0.00710780
1034824411.14507258,	-0.00929611,	-11.08498043,	0.04835057,	0.04744849
1034829413.64632320,	-0.01260911,	-29.33625273,	0.02573635,	0.02243590
1034834416.14757383,	0.02477806,	123.53100193,	0.02972462,	-0.01641953
1034839418.64882445,	0.01997728,	45.33761610,	0.02808712,	0.01974322
1034844421.15007508,	0.00098840,	5.64902323,	0.01004120,	0.00999244
1034849423.65132570,	0.03798939,	110.55759068,	0.04057310,	-0.01424719
1034854426.15257633,	-0.03018039,	-31.82661838,	0.05723022,	0.04862553
1034859428.65382695,	0.02638511,	37.78930234,	0.04305948,	0.03402859
1034864431.15507758,	0.03479481,	82.88485016,	0.03506483,	0.00434327
1034869433.65632820,	0.05007925,	86.04423185,	0.05019884,	0.00346303
1034874436.15757883,	-0.01460714,	-56.04025629,	0.01761105,	0.00983771
1034879438.65882945,	-0.01027057,	-48.03708851,	0.01381237,	0.00923563
1034884441.16008008,	-0.00695512,	-26.05045232,	0.01583724,	0.01422830
1034889443.66133070,	0.00723832,	94.65853383,	0.00726231,	-0.00058982
1034894446.16258132,	0.03346863,	143.34138028,	0.05605705,	-0.04496936
1034899448.66383195,	0.01501372,	55.16885639,	0.01829071,	0.01044692
1034904451.16508257,	-0.01969390,	-24.52010993,	0.04745373,	0.04317415
1034909453.66633320,	0.00744366,	149.24120393,	0.01455474,	-0.01250729
1034914456.16758382,	0.00910570,	27.45772182,	0.01974804,	0.01752345
1034919458.66883445,	-0.01763035,	-116.99142838,	0.01978550,	-0.00897979
1034924461.17008507,	-0.02157130,	-57.71636905,	0.02551565,	0.01362818
1034929463.67133570,	0.04192796,	60.25487721,	0.04829069,	0.02395907
1034934466.17258632,	0.01169514,	169.73149800,	0.06560674,	-0.06455593
1034939468.67383695,	-0.03896472,	-96.42368915,	0.03921090,	-0.00438691
1034944471.17508757,	0.01168848,	20.41449879,	0.03350966,	0.03140505
1034949473.67633820,	0.02064188,	144.06229503,	0.03517072,	-0.02847617
1034954476.17758882,	0.00809282,	154.06449481,	0.01850383,	-0.01664025
1034959478.67883944,	-0.01117693,	-15.63848340,	0.04146258,	0.03992771
1034964481.18009007,	0.01739885,	62.09098688,	0.01968881,	0.00921572
1034969483.68134069,	0.03068903,	109.64830988,	0.03258640,	-0.01095704
1034974486.18259132,	0.07052018,	112.72302027,	0.07645434,	-0.02953253
1034979488.68384194,	0.03215290,	103.53836763,	0.03307186,	-0.00774200
1034984491.18509257,	-0.01068375,	-9.84575906,	0.06247934,	0.06155913
1034989493.68634319,	0.02690663,	70.92805453,	0.02846934,	0.00930250
1034994496.18759382,	-0.03693492,	-130.18076136,	0.04834334,	-0.03119118
1034999498.68884444,	0.00115472,	24.92014127,	0.00274049,	0.00248534
1035004501.19009507,	0.00614911,	112.46954690,	0.00665428,	-0.00254322
1035009503.69134569,	-0.00834514,	-51.15731610,	0.01071440,	0.00671991
1035014506.19259632,	0.00154085,	173.14746661,	0.01291419,	-0.01282194
1035019508.69384694,	0.03697619,	65.91351303,	0.04050275,	0.01652979
1035024511.19509757,	0.00393339,	7.65891341,	0.02951319,	0.02924991
1035029513.69634819,	0.01177207,	25.11536501,	0.02773539,	0.02511314
1035034516.19759881,	0.02518808,	37.28272914,	0.04158173,	0.03308476
1035039518.69884944,	0.02541233,	22.80370289,	0.06556750,	0.06044262
1035044521.20010006,	0.00690257,	157.96167739,	0.01839574,	-0.01705162
1035049523.70135069,	0.01316320,	104.09477570,	0.01357179,	-0.00330509
1035054526.20260131,	-0.00480957,	-26.34630099,	0.01083735,	0.00971166
1035059528.70385194,	0.04376686,	92.30275273,	0.04380224,	-0.00175996
1035064531.20510256,	0.03218498,	82.30976049,	0.03247708,	0.00434600
1035069533.70635319,	0.00623380,	26.43573757,	0.01400245,	0.01253827
1035074536.20760381,	0.03077948,	64.84162482,	0.03400536,	0.01445642
1035079538.70885444,	0.00633872,	157.22799616,	0.01637637,	-0.01509987
1035084541.21010506,	0.01842348,	83.30334390,	0.01855004,	0.00216317
1035089543.71135569,	0.05416958,	124.51596174,	0.06574230,	-0.03725194
1035094546.21260631,	0.01792525,	120.38140962,	0.02077862,	-0.01050887
1035099548.71385694,	0.03367275,	91.49443466,	0.03368421,	-0.00087848
1035104551.21510756,	0.03101901,	32.54477785,	0.05766058,	0.04860622
1035109553.71635818,	-0.00203343,	-3.39293248,	0.03435827,	0.03429804
1035114556.21760881,	0.01413120,	39.31438276,	0.02230390,	0.01725611
1035119558.71885943,	-0.01867869,	-134.51219540,	0.02619360,	-0.01836331
1035124561.22011006,	-0.02389485,	-32.35764839,	0.04464637,	0.03771385
1035129563.72136068,	0.00616772,	19.84453795,	0.01816871,	0.01708980
1035134566.22261131,	0.00497017,	36.23787661,	0.00840778,	0.00678146
1035139568.72386193,	0.00219507,	7.32426880,	0.01721828,	0.01707779
1035144571.22511256,	0.01210384,	137.74325122,	0.01799951,	-0.01332214
1035149573.72636318,	0.00402361,	118.45596713,	0.00457654,	-0.00218064
1035154576.22761381,	0.00710782,	6.65504120,	0.06133170,	0.06091844
1035159578.72886443,	0.04132455,	42.86023906,	0.06075242,	0.04453244
1035164581.23011506,	0.03290244,	98.09339582,	0.03323345,	-0.00467884
1035169583.73136568,	0.00580418,	7.95731581,	0.04192698,	0.04152329
1035174586.23261631,	-0.00470684,	-136.58237848,	0.00684819,	-0.00497427
1035179588.73386693,	0.04481440,	61.99481057,	0.05075790,	0.02383345
1035184591.23511755,	-0.01963022,	-130.59243980,	0.02585110,	-0.01682064
1035189593.73636818,	0.04720751,	106.46772548,	0.04922681,	-0.01395458
1035194596.23761880,	-0.00339779,	-3.58538420,	0.05433344,	0.05422710
1035199598.73886943,	-0.00531908,	-138.14768086,	0.00797208,	-0.00593814
1035204601.24012005,	-0.00549217,	-16.12497152,	0.01977499,	0.01899701
1035209603.74137068,	0.02827679,	98.20925544,	0.02856953,	-0.00407941
1035214606.24262130,	0.04023364,	37.23077345,	0.06649894,	0.05294679
1035219608.74387193,	-0.00248609,	-6.26748643,	0.02277259,	0.02263648
1035224611.24512255,	0.01605579,	45.75724549,	0.02241207,	0.01563690
1035229613.74637318,	0.03664906,	42.89514489,	0.05384351,	0.03944579
1035234616.24762380,	0.02328018,	97.74489189,	0.02349450,	-0.00316618
1035239618.74887443,	-0.02406592,	-56.46222256,	0.02887258,	0.01595171
1035244621.25012505,	0.03248216,	111.28940133,	0.03486114,	-0.01265734
1035249623.75137567,	0.01923774,	81.82208865,	0.01943538,	0.00276463
1035254626.25262630,	0.00693219,	166.70385401,	0.03014203,	-0.02933406
1035259628.75387692,	0.06095991,	90.80305876,	0.06096589,	-0.00085447
1035264631.25512755,	0.00564630,	159.48806908,	0.01611376,	-0.01509213
1035269633.75637817,	0.05037238,	49.37272216,	0.06637015,	0.04321597
1035274636.25762880,	0.02836141,	92.29936947,	0.02838426,	-0.00113880
1035279638.75887942,	-0.02137926,	-104.25216526,	0.02205817,	-0.00543050
1035284641.26013005,	0.00123051,	4.22634975,	0.01669686,	0.01665146
1035289643.76138067,	0.00912450,	71.02954038,	0.00964855,	0.00313656
1035294646.26263130,	-0.00634388,	-8.51434548,	0.04284756,	0.04237533
1035299648.76388192,	0.01557667,	111.91773095,	0.01679026,	-0.00626738
1035304651.26513255,	0.02127975,	50.75645922,	0.02747675,	0.01738229
1035309653.76638317,	0.05770254,	72.44828003,	0.06052004,	0.01825082
1035314656.26763380,	-0.03992096,	-49.32946892,	0.05263356,	0.03430173
1035319658.76888442,	0.03205835,	57.41494003,	0.03804727,	0.02049040
1035324661.27013504,	-0.01456544,	-11.77375954,	0.07138254,	0.06988072
1035329663.77138567,	0.02994706,	55.91939721,	0.03615702,	0.02026090
1035334666.27263629,	0.00507330,	45.42587546,	0.00712199,	0.00499844
1035339668.77388692,	-0.01919251,	-93.55640859,	0.01922954,	-0.00119283
1035344671.27513754,	0.02098254,	140.55667900,	0.03302700,	-0.02550521
1035349673.77638817,	-0.02510218,	-42.56486059,	0.03711010,	0.02733204
1035354676.27763879,	-0.00425250,	-162.94132595,	0.01449629,	-0.01385853
1035359678.77888942,	-0.00950738,	-111.38966542,	0.01021067,	-0.00372392
1035364681.28014004,	0.00355462,	174.52512180,	0.03725651,	-0.03708655
1035369683.78139067,	0.03303326,	57.92435483,	0.03898430,	0.02070216
1035374686.28264129,	0.02538046,	98.82334074,	0.02568441,	-0.00393969
1035379688.78389192,	0.01902061,	135.05599195,	0.02692553,	-0.01905782
1035384691.28514254,	-0.02239776,	-128.11752041,	0.02846885,	-0.01757315
1035389693.78639317,	-0.00032423,	-6.81115499,	0.00273389,	0.00271459
1035394696.28764379,	-0.00485518,	-169.09275206,	0.02565898,	-0.02519545
1035399698.78889441,	0.06927086,	67.99438878,	0.07471399,	0.02799514
1035404701.29014504,	-0.00073437,	-3.32839565,	0.01264868,	0.01262734
1035409703.79139566,	-0.01896113,	-67.50290990,	0.02052295,	0.00785283
1035414706.29264629,	0.00227615,	4.44742222,	0.02935294,	0.02926455
1035419708.79389691,	-0.00037852,	-175.93544433,	0.00534026,	-0.00532683
1035424711.29514754,	0.06720929,	69.47426194,	0.07176533,	0.02516294
1035429713.79639816,	0.01445908,	123.76140354,	0.01739211,	-0.00966541
1035434716.29764879,	0.02609420,	37.22074741,	0.04313892,	0.03435200
1035439718.79889941,	0.02529641,	148.31266548,	0.04815764,	-0.04097864
1035444721.30015004,	-0.01496786,	-137.40776233,	0.02211640,	-0.01628185
1035449723.80140066,	0.01302763,	14.87842641,	0.05073679,	0.04903573
1035454726.30265129,	-0.04022013,	-115.72237016,	0.04464401,	-0.01937599
1035459728.80390191,	-0.01182832,	-17.88212236,	0.03852125,	0.03666030
1035464731.30515254,	-0.03189947,	-66.94760334,	0.03466779,	0.01357496
1035469733.80640316,	0.02211686,	151.15303935,	0.04584073,	-0.04015242
1035474736.30765378,	0.00512290,	161.69346826,	0.01630975,	-0.01548431
1035479738.80890441,	0.05021659,	80.09396038,	0.05097659,	0.00876965
1035484741.31015503,	0.00153275,	173.02829699,	0.01262775,	-0.01253438
1035489743.81140566,	0.00873052,	9.17166768,	0.05477352,	0.05407325
1035494746.31265628,	0.07719882,	87.49981160,	0.07727238,	0.00337083
1035499748.81390691,	-0.01061111,	-8.20427458,	0.07435811,	0.07359710
1035504751.31515753,	-0.00035688,	-2.77307144,	0.00737657,	0.00736793
1035509753.81640816,	-0.04263151,	-94.42452296,	0.04275894,	-0.00329867
1035514756.31765878,	-0.01225646,	-163.49952752,	0.04315303,	-0.04137588
1035519758.81890941,	-0.04014190,	-46.72877930,	0.05513109,	0.03778976
1035524761.32016003,	0.00829253,	29.11252421,	0.01704436,	0.01489108
1035529763.82141066,	-0.01646427,	-130.58550312,	0.02167961,	-0.01410437
1035534766.32266128,	0.02624582,	30.27289578,	0.05206274,	0.04496316
1035539768.82391190,	0.03601604,	59.21174542,	0.04192470,	0.02145986
1035544771.32516253,	-0.02626238,	-115.12265767,	0.02900636,	-0.01231487
1035549773.82641315,	0.04190712,	124.39372155,	0.05078571,	-0.02868766
1035554776.32766378,	0.02800444,	23.17082522,	0.07117231,	0.06543125
1035559778.82891440,	0.07975612,	112.09393079,	0.08607687,	-0.03237576
1035564781.33016503,	0.01055110,	9.03234687,	0.06720789,	0.06637450
1035569783.83141565,	-0.01628478,	-36.43773744,	0.02741782,	0.02205771
1035574786.33266628,	0.01072675,	27.18905033,	0.02347580,	0.02088181
1035579788.83391690,	-0.02494260,	-42.56276113,	0.03687566,	0.02716028
1035584791.33516753,	0.03164002,	29.00792198,	0.06524650,	0.05706150
1035589793.83641815,	0.00267711,	13.42937541,	0.01152701,	0.01121183
1035594796.33766878,	-0.05676628,	-70.74390568,	0.06013033,	0.01983045
1035599798.83891940,	-0.00219556,	-7.77031162,	0.01623910,	0.01608999
1035604801.34017003,	0.08569008,	75.30929294,	0.08858606,	0.02246552
1035609803.84142077,	0.02933565,	89.43284817,	0.02933709,	0.00029039
1035614806.34267139,	0.00711028,	11.93684830,	0.03437685,	0.03363349
1035619808.84392202,	0.02799658,	111.15702058,	0.03002010,	-0.01083501
1035624811.34517264,	0.02541057,	61.09024197,	0.02902797,	0.01403304
1035629813.84642327,	0.00472372,	24.14558020,	0.01154784,	0.01053751
1035634816.34767389,	-0.03985426,	-62.44864984,	0.04495196,	0.02079223
1035639818.84892452,	0.01609142,	12.60120776,	0.07375841,	0.07198173
1035644821.35017514,	-0.00634323,	-19.96613913,	0.01857652,	0.01745997
1035649823.85142577,	0.04767346,	60.37104256,	0.05484466,	0.02711417
1035654826.35267639,	-0.00031031,	-0.72148465,	0.02464356,	0.02464161
1035659828.85392702,	0.04316802,	57.07744991,	0.05142686,	0.02795075
1035664831.35517764,	-0.03641485,	-78.70078281,	0.03713462,	0.00727589
1035669833.85642827,	-0.01433788,	-33.68447897,	0.02585176,	0.02151136
1035674836.35767889,	0.02785593,	33.20210926,	0.05086968,	0.04256491
1035679838.85892951,	0.00835815,	9.08358892,	0.05294152,	0.05227758
1035684841.36018014,	0.00065709,	0.54341702,	0.06928162,	0.06927851
1035689843.86143076,	0.00919345,	18.42809418,	0.02908269,	0.02759136
1035694846.36268139,	0.02932331,	80.98655619,	0.02968993,	0.00465141
1035699848.86393201,	0.02805346,	27.31013925,	0.06114438,	0.05432898
1035704851.36518264,	0.00427611,	15.58190942,	0.01591905,	0.01533399
1035709853.86643326,	0.01995477,	23.50431209,	0.05003477,	0.04588339
1035714856.36768389,	0.01829202,	21.21914908,	0.05053936,	0.04711294
1035719858.86893451,	-0.00782936,	-86.75390014,	0.00784195,	0.00044405
1035724861.37018514,	-0.00362188,	-30.79994211,	0.00707341,	0.00607578
1035729863.87143576,	-0.01517190,	-80.04615695,	0.01540377,	0.00266262
1035734866.37268639,	0.03034146,	63.73249573,	0.03383539,	0.01497428
1035739868.87393701,	0.03548534,	111.15388500,	0.03804931,	-0.01373101
1035744871.37518764,	0.01783786,	32.86714060,	0.03286917,	0.02760784
1035749873.87643826,	-0.01377585,	-44.80365005,	0.01954910,	0.01387060
1035754876.37768888,	0.01126899,	27.04678769,	0.02478238,	0.02207207
1035759878.87893951,	0.01499923,	19.87940760,	0.04411000,	0.04148150
1035764881.38019013,	0.02273993,	83.82807264,	0.02287251,	0.00245907
1035769883.88144076,	-0.03082661,	-90.24674413,	0.03082689,	-0.00013276
1035774886.38269138,	0.00740667,	15.63204209,	0.02748725,	0.02647055
1035779888.88394201,	-0.04194200,	-98.11424010,	0.04236614,	-0.00597987
1035784891.38519263,	0.03167740,	50.48559406,	0.04106138,	0.02612622
1035789893.88644326,	0.05339097,	68.18587813,	0.05750894,	0.02137013
1035794896.38769388,	0.05668926,	106.92827035,	0.05925686,	-0.01725407
1035799898.88894451,	-0.04434952,	-98.16553665,	0.04480375,	-0.00636364
1035804901.39019513,	0.00260988,	4.70042618,	0.03184875,	0.03174163
1035809903.89144576,	0.06288211,	78.33903345,	0.06420730,	0.01297759
1035814906.39269638,	0.01778480,	126.70215935,	0.02218239,	-0.01325742
1035819908.89394700,	0.03288669,	106.53685032,	0.03430568,	-0.00976449
1035824911.39519763,	0.04616558,	131.95567811,	0.06207870,	-0.04150306
1035829913.89644825,	-0.00393346,	-15.73582052,	0.01450378,	0.01396021
1035834916.39769888,	0.01323497,	10.49828283,	0.07263735,	0.07142143
1035839918.89894950,	-0.00688601,	-92.55577161,	0.00689287,	-0.00030737
1035844921.40020013,	-0.00658177,	-41.43657881,	0.00994539,	0.00745595
1035849923.90145075,	0.00923445,	15.98968571,	0.03352320,	0.03222623
1035854926.40270138,	-0.05605733,	-70.07966039,	0.05962485,	0.02031498
1035859928.90395200,	-0.01821177,	-95.64973445,	0.01830067,	-0.00180164
1035864931.40520263,	-0.00072882,	-177.85425330,	0.01946563,	-0.01945198
1035869933.90645325,	0.02131052,	34.68670156,	0.03744675,	0.03079157
1035874936.40770388,	0.03385966,	58.23672047,	0.03982411,	0.02096385
1035879938.90895450,	0.01189853,	13.77494091,	0.04997100,	0.04853376
1035884941.41020513,	0.03802456,	128.91761527,	0.04887161,	-0.03070126
1035889943.91145575,	0.01568319,	52.39663278,	0.01979567,	0.01207915
1035894946.41270637,	0.01365382,	46.19107536,	0.01892022,	0.01309763
1035899948.91395700,	0.00660095,	143.28610662,	0.01104171,	-0.00885138
1035904951.41520762,	0.00521885,	11.91389818,	0.02528003,	0.02473547
1035909953.91645825,	-0.01505095,	-149.50165333,	0.02965626,	-0.02555313
1035914956.41770887,	0.04219665,	56.47877983,	0.05061484,	0.02795183
1035919958.91895950,	0.04552066,	39.03396653,	0.07228014,	0.05614524
1035924961.42021012,	-0.01433108,	-53.64565512,	0.01779449,	0.01054817
1035929963.92146075,	0.02617707,	23.82841003,	0.06479490,	0.05927175
1035934966.42271137,	0.05215090,	60.37397052,	0.05999387,	0.02965718
1035939968.92396200,	0.00005584,	0.56018315,	0.00571110,	0.00571083
1035944971.42521262,	-0.01414602,	-138.89708722,	0.02151769,	-0.01621422
1035949973.92646325,	0.02262095,	22.98486788,	0.05792995,	0.05333078
1035954976.42771387,	0.03168326,	82.78698708,	0.03193600,	0.00400984
1035959978.92896450,	0.05760821,	127.29215015,	0.07241246,	-0.04387322
1035964981.43021512,	0.02325659,	85.89629461,	0.02331636,	0.00166856
1035969983.93146574,	-0.02139614,	-61.99908270,	0.02423283,	0.01137697
1035974986.43271637,	0.07364610,	80.64446427,	0.07463890,	0.01213332
1035979988.93396699,	0.01169172,	12.01769065,	0.05615249,	0.05492182
1035984991.43521762,	-0.02430526,	-33.78675645,	0.04370635,	0.03632492
1035989993.93646824,	0.00304695,	162.28247919,	0.01001219,	-0.00953730
1035994996.43771887,	-0.00692963,	-108.69484890,	0.00731560,	-0.00234485
1035999998.93896949,	-0.00541399,	-5.20075527,	0.05972698,	0.05948110
1036005001.44022012,	-0.00584948,	-63.47584784,	0.00653759,	0.00291952
1036010003.94147074,	-0.00497721,	-16.33483937,	0.01769671,	0.01698238
1036015006.44272137,	0.06523274,	70.85432980,	0.06905217,	0.02264711
1036020008.94397199,	0.01825877,	88.94571053,	0.01826186,	0.00033601
1036025011.44522262,	0.02810996,	113.12589713,	0.03056613,	-0.01200493
1036030013.94647324,	-0.00376502,	-101.38699305,	0.00384062,	-0.00075827
1036035016.44772387,	0.00553190,	8.71097888,	0.03652617,	0.03610484
1036040018.94897449,	0.02344882,	66.12378785,	0.02564333,	0.01037944
1036045021.45022511,	-0.01293028,	-163.37906807,	0.04520469,	-0.04331595
1036050023.95147574,	0.03945638,	93.58152757,	0.03953359,	-0.00246961
1036055026.45272636,	0.01046561,	32.29645358,	0.01958751,	0.01655722
1036060028.95397699,	-0.00384165,	-15.32044070,	0.01453974,	0.01402305
1036065031.45522761,	0.04529516,	99.94705571,	0.04598643,	-0.00794361
1036070033.95647824,	0.01069991,	158.41589623,	0.02908640,	-0.02704682
